amfi_code,sharpe_ratio
148567,364.96937492221747
120843,329.2994803247959
148569,311.20236649513106
119551,304.4831749779248
120505,297.3855018104836
149323,285.2947068236306
100033,275.612083370727
118632,272.57811319511745
101206,258.85775862459315
120504,258.68411976942366
119094,251.55420868963765
119552,240.22643321023463
149324,239.34854781472396
119598,238.21768089393362
148568,233.42441137747568
102885,205.90903301205807
120503,201.08916036853174
125497,195.4991429549224
118635,167.5439636343636
120506,163.51745143228823
118633,162.59227444991703
102887,156.11843270091168
120507,124.92229502423471
120841,124.55667954254322
149322,116.9374372035604
118634,113.00537024506583
125498,75.75420410272206
101207,40.99051386018987
119093,32.66285348508671
120842,19.151961707740483
119092,7.757782440555658
119599,-14.41102970870135
119095,-19.14533993604688
120844,-22.364318646324367
100016,-50.78230102503668
102886,-51.869565179385184
119120,-57.09699743023478
118636,-89.87063589362069
100025,-142.90788779761655
101208,-205.5229767130243
